"SPU_hit","SPU_common_name","GO","SPU_description","GID"
"SPU_011348","Sp-Fxr","GO:0000122","farnesoid X receptor-like, liver X receptor-like, Sp-Lxr, Sp-Fxr/Lxr, EcR homolog, NR1H2/3/4/5-like","HER_26316.t1"
"SPU_011348","Sp-Fxr","GO:0000122","farnesoid X receptor-like, liver X receptor-like, Sp-Lxr, Sp-Fxr/Lxr, EcR homolog, NR1H2/3/4/5-like","HER_26316.t1.1.5f2c6b67"
"SPU_011348","Sp-Fxr","GO:0000122","farnesoid X receptor-like, liver X receptor-like, Sp-Lxr, Sp-Fxr/Lxr, EcR homolog, NR1H2/3/4/5-like","HER_26316.t1.2.5f2c6b67"
"SPU_011061","Sp-Gcnf1_1","GO:0003700","germ cell nuclear factor, Gcnf, nuclear receptor subfamily 6 group A member 1, Nr6a1","HER_47572.t1"
"SPU_011061","Sp-Gcnf1_1","GO:0003700","germ cell nuclear factor, Gcnf, nuclear receptor subfamily 6 group A member 1, Nr6a1","HER_47572.t1.1.5f2c6a99"
"SPU_007599","Sp-GlassL","GO:0000977","glass-like, Sp-Glass2","HER_46155.t1.2.5f2c69ee"
"SPU_007599","Sp-GlassL","GO:0000977","glass-like, Sp-Glass2","HER_46155.t1.4.5f2c69ee"
"SPU_007599","Sp-GlassL","GO:0000978","glass-like, Sp-Glass2","HER_8624.t1"
"SPU_017627","Sp-Gli","GO:0000977","GLI-Kruppel family member, cubitus interruptus (ci) homolog, z22, Sp-GliA, Sp-GLI3, Sp-Gli1","HER_37378.t1"
"SPU_018744","Sp-Glis1/3","GO:0000977","GLIS family zinc finger 1 and 3-like, Gli-similar, z113, Sp-GlisB","HER_6443.t1_HER_6444.t1"
"SPU_010542","Sp-Glis2_1","GO:0000977","GLIS family zinc finger 2-like (partial duplicate), sugarbabe (sug) homolog, z107, Sp-Glis1","HER_49835.t1"
"SPU_000510","Sp-Gltscr2L","GO:0000027","glioma tumor suppressor candidate region gene 2","HER_17053.t1"
"SPU_000510","Sp-Gltscr2L","GO:0000978","glioma tumor suppressor candidate region gene 2","HER_17054.t1"
"SPU_000510","Sp-Gltscr2L","GO:0000027","glioma tumor suppressor candidate region gene 2","HER_17067.t1"
"SPU_000510","Sp-Gltscr2L","GO:0000978","glioma tumor suppressor candidate region gene 2","HER_17068.t1"
"SPU_017287","Sp-Hand","GO:0000977","heart and neural crest derivatives expressed","HER_49607.t1"
"SPU_023177","Sp-Hbn","GO:0000977","homeobrain","HER_10974.t1"
"SPU_021407","Sp-Hbp1","GO:0000978","HMG-box transcription factor 1","HER_39487.t1"
"SPU_006814","Sp-HesA","GO:0000978","hairy and enhancer of split-like A, Sp-Hairy2/4, Sp-Hes","HER_29126.t1"
"SPU_006813","Sp-HesB","GO:0000978","hairy and enhancer of split-like B, Sp-Hairy","HER_29128.t1"
"SPU_021608","Sp-HesC","GO:0000978","hairy and enhancer of split-like C, Sp-Hes","HER_29055.t1"
"SPU_021608","Sp-HesC","GO:0000978","hairy and enhancer of split-like C, Sp-Hes","HER_29059.t1"
"SPU_009465","Sp-Hey","GO:0000978","hairy/enhancer-of-split related with YRPW motif","HER_22363.t1"
"SPU_009465","Sp-Hey","GO:0000978","hairy/enhancer-of-split related with YRPW motif","HER_22398.t1"
"SPU_009465","Sp-Hey","GO:0046983","hairy/enhancer-of-split related with YRPW motif","HER_37767.t1"
"SPU_026758","Sp-Hif2a","GO:0000977","hypoxia inducible factor 2 alpha, endothelial PAS domain protein 1 (EPAS-1)","HER_17197.t1"
"SPU_026758","Sp-Hif2a","GO:0000977","hypoxia inducible factor 2 alpha, endothelial PAS domain protein 1 (EPAS-1)","HER_17197.t1.1.5f2c6bd8"
"SPU_004414","Sp-Hlf","GO:0000978","hepatic leukemia factor-like, Hlf/Tef/Dbp-like, PAR-domain protein 1 (Pdp1) homolog","HER_48752.t1"
"SPU_004843","Sp-HlfL","GO:0000978","hepatic leukemia factor-like, CG7786 homolog","HER_37546.t1"
"SPU_021150","Sp-HlfL2","GO:0000978","hepatic leukemia factor-like 2, par domain protein (Pdp1)-like, Sp-Hypp_2540","HER_18096.t1"
"SPU_012490","Sp-Hmx","GO:0000977","H6 homeobox, SpHmx","HER_8788.t1"
"SPU_010305","Sp-Hnf1_1","GO:0000978","HNF1 homeobox (partial), hepatocyte nuclear factor 1-like, Sp-Hnf1aL, Sp-Hnf1L","HER_1072.t1"
"SPU_021192","Sp-Hnf4","GO:0000978","hepatocyte nuclear factor 4, NR2A","HER_45897.t1"
"SPU_021192","Sp-Hnf4","GO:0000978","hepatocyte nuclear factor 4, NR2A","HER_45897.t1.1.5f2c69ba"
"SPU_021192","Sp-Hnf4","GO:0000978","hepatocyte nuclear factor 4, NR2A","HER_45897.t1.2.5f2c69ba"
"SPU_021192","Sp-Hnf4","GO:0000978","hepatocyte nuclear factor 4, NR2A","HER_45897.t2"
"SPU_018056","Sp-Homeo1","GO:0000977","homeodomain containing 1","HER_786.t1"
"SPU_018056","Sp-Homeo1","GO:0000977","homeodomain containing 1","HER_813.t1"
"SPU_011798","Sp-Homeo2","GO:0000978","homeodomain containing 2","HER_44858.t1"
"SPU_017837","Sp-Homeo4","GO:0000978","homeodomain containing 4, Sp-Nkx3.2","HER_7923.t1"
"SPU_017837","Sp-Homeo4","GO:0000978","homeodomain containing 4, Sp-Nkx3.2","HER_7923.t2"
"SPU_013409","Sp-Hsf","GO:0003700","heat shock factor","HER_46409.t1"
"SPU_013409","Sp-Hsf","GO:0003700","heat shock factor","HER_46409.t2"
"SPU_019455","Sp-Hsf5L","GO:0003700","heat shock transcription factor family member 5-like","HER_45025.t1"
"SPU_016485","Sp-Hypp_131","GO:0000978","hypp-131; zinc finger protein-like","HER_9777.t1"
"SPU_004514","Sp-Hypp_1532","GO:0003700","hypothetical protein-1532","HER_35618.t1"
"SPU_004514","Sp-Hypp_1532","GO:0003700","hypothetical protein-1532","HER_35636.t1"
"SPU_004583","Sp-Hypp_1535","GO:0000978","hypothetical protein-1535; interferon regulatory factor 5-like","HER_46081.t1"
"SPU_005879","Sp-Hypp_1612","GO:0003700","hypothetical protein-1612","HER_2406.t1"
"SPU_006032","Sp-Hypp_1626","GO:0003700","hypothetical protein-1626","HER_38202.t1"
"SPU_006584","Sp-Hypp_1667","GO:0003700","hypothetical protein-1667","HER_8038.t1"
"SPU_012601","Sp-Hypp_2040","GO:0000978","hypothetical protein-2040","HER_21007.t1_HER_21009.t1"
"SPU_013695","Sp-Hypp_2098","GO:0000978","hypothetical protein-2098","HER_36906.t1"
"SPU_013695","Sp-Hypp_2098","GO:0000978","hypothetical protein-2098","HER_36906.t1.1.5f2c6c80"
"SPU_015151","Sp-Hypp_2193","GO:0000978","hypothetical protein-2193","HER_21833.t1"
"SPU_015151","Sp-Hypp_2193","GO:0000978","hypothetical protein-2193","HER_21835.t1"
"SPU_025491","Sp-Hypp_2792","GO:0000977","hypothetical protein-2792","HER_38502.t1"
"SPU_027427","Sp-Hypp_2902","GO:0003700","hypothetical protein-2902","HER_1221.t1"
"SPU_027427","Sp-Hypp_2902","GO:0003700","hypothetical protein-2902","HER_1223.t1"
"SPU_027427","Sp-Hypp_2902","GO:0003700","hypothetical protein-2902","HER_25780.t1"
"SPU_027427","Sp-Hypp_2902","GO:0003700","hypothetical protein-2902","HER_25780.t1.1.5f2c6b5b"
"SPU_009649","Sp-Hypp_584","GO:0000978","hypothetical protein-584; DMRT-like family C2-like","HER_19136.t1"
"SPU_020727","Sp-Hypp_987","GO:0003700","hypothetical protein-987","HER_2787.t1"
"SPU_027472","Sp-Insm","GO:0000122","insulinoma-associated protein, Insm1/2,  z176, nerfin homolog, Sp-Ia1","HER_18414.t1"
"SPU_010404","Sp-Irf","GO:0000976","interferon regulatory factor, Sp-irf1","HER_23840.t1"
"SPU_026877","Sp-Irf4","GO:0000978","interferon regulatory factor 4-like","HER_35286.t1"
"SPU_026877","Sp-Irf4","GO:0000978","interferon regulatory factor 4-like","HER_35288.t1"
"SPU_026877","Sp-Irf4",NA,"interferon regulatory factor 4-like","HER_35294.t1"
"SPU_026877","Sp-Irf4","GO:0000978","interferon regulatory factor 4-like","HER_35295.t1"
"SPU_026877","Sp-Irf4","GO:0003700","interferon regulatory factor 4-like","HER_35296.t1"
"SPU_026877","Sp-Irf4","GO:0000976","interferon regulatory factor 4-like","HER_44739.t1"
"SPU_026877","Sp-Irf4","GO:0000976","interferon regulatory factor 4-like","HER_44739.t1.1.5f2c69d3"
"SPU_026877","Sp-Irf4","GO:0000976","interferon regulatory factor 4-like","HER_44751.t1"
"SPU_010351","Sp-IrxA","GO:0000978","iroquois homeobox A","HER_19371.t1"
"SPU_010351","Sp-IrxA",NA,"iroquois homeobox A","HER_45959.t1"
"SPU_010351","Sp-IrxA","GO:0000978","iroquois homeobox A","HER_45960.t1"
"SPU_023730","Sp-Isl","GO:0000981","ISL LIM homeobox","HER_10349.t1"
"SPU_003102","Sp-Jun","GO:0000978","jun proto-oncogene-like, AP-1-like","HER_6739.t1"
"SPU_026418","Sp-Klf11","GO:0000978","Kruppel-like factor 11-like, Klf10/11, z214","HER_3078.t1"
"SPU_023727","Sp-Klf13","GO:0000978","Kruppel-like factor 13-like, z188, Klf9/13/14/16-like","HER_10364.t1"
"SPU_015772","Sp-Klf15","GO:0000978","Kruppel-like factor 15-like, z174","HER_40389.t1"
"SPU_020311","Sp-Klf2/4","GO:0000978","Kruppel-like factor 2/4-like, z85","HER_6786.t1"
"SPU_017470","Sp-Klf3/8/12","GO:0000978","Kruppel-like factor 3/8/12-like, z400","HER_49665.t1"
"SPU_012772","Sp-Klf7","GO:0000978","Kruppel-like factor 7-like, Klf6/7, z86","HER_23117.t1"
"SPU_012772","Sp-Klf7","GO:0000978","Kruppel-like factor 7-like, Klf6/7, z86","HER_49003.t1"
"SPU_004148","Sp-Krl","GO:0000978","transcriptional repressor Krl-like, SpKrl","HER_30494.t1"
"SPU_004148","Sp-Krl","GO:0000978","transcriptional repressor Krl-like, SpKrl","HER_30497.t1"
"SPU_004148","Sp-Krl",NA,"transcriptional repressor Krl-like, SpKrl","HER_30503.t1"
"SPU_004148","Sp-Krl","GO:0000978","transcriptional repressor Krl-like, SpKrl","HER_30505.t1"
"SPU_021313","Sp-Lhx2","GO:0000977","LIM homeobox 2","HER_47769.t1"
"SPU_021313","Sp-Lhx2","GO:0000977","LIM homeobox 2","HER_47787.t1"
"SPU_001975","Sp-Lhx3/4","GO:0000977","LIM homeobox 3/4, Lim3 (Drosophila) homolog, Sp-Lhx3-4, Sp-lhx3.4, Sp-LHX3","HER_46879.t1"
"SPU_001975","Sp-Lhx3/4",NA,"LIM homeobox 3/4, Lim3 (Drosophila) homolog, Sp-Lhx3-4, Sp-lhx3.4, Sp-LHX3","HER_46880.t1"
"SPU_001975","Sp-Lhx3/4","GO:0000977","LIM homeobox 3/4, Lim3 (Drosophila) homolog, Sp-Lhx3-4, Sp-lhx3.4, Sp-LHX3","HER_46881.t1"
"SPU_001975","Sp-Lhx3/4","GO:0000977","LIM homeobox 3/4, Lim3 (Drosophila) homolog, Sp-Lhx3-4, Sp-lhx3.4, Sp-LHX3","HER_46881.t1.1.5f2c6a8c"
"SPU_006991","Sp-Lim1","GO:0000977","LIM homeobox, Lhx1/5","HER_2641.t1"
"SPU_014157","Sp-Lmx1","GO:0000977","LIM homeobox transcription factor 1","HER_47320.t1"
"SPU_014157","Sp-Lmx1","GO:0000977","LIM homeobox transcription factor 1","HER_47320.t2"
"SPU_014157","Sp-Lmx1","GO:0000977","LIM homeobox transcription factor 1","HER_47323.t1"
"SPU_026099","Sp-Lox","GO:0000978","pancreas/duodenum homeobox, Pdx1, IPF1, Splox","HER_48747.t1"
"SPU_030167","Sp-Mafs","GO:0000978","small Maf protein, maf-S homolog","HER_15571.t1"
"SPU_030167","Sp-Mafs","GO:0000978","small Maf protein, maf-S homolog","HER_15584.t1"
"SPU_011297","Sp-Mbx1","GO:0000977","diencephalon/mesencephalon homeobox 1, Dmbx1, Sp-MBX","HER_24817.t1"
"SPU_011297","Sp-Mbx1","GO:0000977","diencephalon/mesencephalon homeobox 1, Dmbx1, Sp-MBX","HER_24817.t2"
"SPU_011202","Sp-Meis","GO:0000978","Meis homeobox","HER_18265.t1"
"SPU_008175","Sp-Mitf","GO:0000978","microphthalmia-associated transcription factor-like, transcription factor E family-like, Tfe-like, Sp-TFE3","HER_40146.t1"
"SPU_000861","Sp-Myb","GO:0000978","Myb-like transcription factor,  myeloblastosis oncogene-like, c-myb-like, SpMyb","HER_31581.t1"
"SPU_003166","Sp-Myc","GO:0000978","myelocytomatosis viral related oncogene, Myc/Mycn/Mycl-like","HER_4442.t1"
"SPU_003166","Sp-Myc","GO:0000978","myelocytomatosis viral related oncogene, Myc/Mycn/Mycl-like","HER_4447.t1"
"SPU_002689","Sp-Myt1-2","GO:0000978","myelin transcription factor 1-2","HER_4050.t1"
"SPU_002689","Sp-Myt1-2","GO:0000978","myelin transcription factor 1-2","HER_4066.t1"
"SPU_010789","Sp-Nbeal1","GO:0005829","neurobeachin-like 1","HER_21469.t1_HER_21466.t1"
"SPU_010789","Sp-Nbeal1","GO:0005829","neurobeachin-like 1","HER_21469.t1_HER_21466.t1.1.5f2d74ea"
"SPU_010789","Sp-Nbeal1","GO:0000978","neurobeachin-like 1","HER_21477.t1"
"SPU_010789","Sp-Nbeal1","GO:0000978","neurobeachin-like 1","HER_21477.t2"
"SPU_010789","Sp-Nbeal1",NA,"neurobeachin-like 1","HER_21478.t1"
"SPU_024918","Sp-NeuroD","GO:0000981","Neurogenic differentiation factor-like, Sp-NeuroD1","HER_30955.t1"
"SPU_015908","Sp-Nfat","GO:0000978","nuclear factor of activated T cells homolog","HER_45480.t1"
"SPU_015908","Sp-Nfat","GO:0000978","nuclear factor of activated T cells homolog","HER_45480.t1.1.5f2c69a3"
"SPU_011174","Sp-Nfe2","GO:0000978","nuclear factor (erythroid-derived 2)-like","HER_38978.t1"
"SPU_011174","Sp-Nfe2","GO:0000978","nuclear factor (erythroid-derived 2)-like","HER_38978.t2"
"SPU_008177","Sp-Nfkb","GO:0000978","nuclear factor of kappa light polypeptide gene enhancer in B cells 1(p105) and 2(p49/p100)-like, Nfkb1/2-like  ","HER_23979.t1"
"SPU_025628","Sp-Nfxl1-2","GO:0000122","nuclear transcription factor, X-box binding-like 1-2","HER_30395.t1"
"SPU_025628","Sp-Nfxl1-2","GO:0000977","nuclear transcription factor, X-box binding-like 1-2","HER_48412.t1"
"SPU_025628","Sp-Nfxl1-2","GO:0000977","nuclear transcription factor, X-box binding-like 1-2","HER_48413.t1"
"SPU_025737","Sp-Nfya","GO:0000981","CBF-A","HER_13685.t1"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2654.t1"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2657.t1"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2657.t1.1.5f2c6846"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2657.t1.2.5f2c6846"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2657.t1.3.5f2c6846"
"SPU_016687","Sp-Nfyc","GO:0000978","nuclear transcription factor Y, gamma; transcription factor NF-YC subunit; CCAAT binding transcription factor CBF subunit C","HER_2657.t1.4.5f2c6846"
"SPU_007147","Sp-Ngn","GO:0000981","neurogenin, Neurog1/2/3-like, Sp-Neurog","HER_23808.t1"
"SPU_007147","Sp-Ngn","GO:0000981","neurogenin, Neurog1/2/3-like, Sp-Neurog","HER_24960.t1"
"SPU_000757","Sp-Nkx2-1","GO:0000978","NK2 homeobox 1, Sp-Nkx2.1, Sp-NK2.1, TTF1,Titf1","HER_18385.t1"
"SPU_000757","Sp-Nkx2-1","GO:0000978","NK2 homeobox 1, Sp-Nkx2.1, Sp-NK2.1, TTF1,Titf1","HER_18385.t2"
"SPU_012631","Sp-Notchh2_2","GO:0005509","Notch gene homolog 2-2","HER_17780.t1"
"SPU_012631","Sp-Notchh2_2","GO:0000978","Notch gene homolog 2-2","HER_17781.t1"
"SPU_017404","Sp-Nr1h6a","GO:0000122","nuclear receptor subfamily 1 group H-like A, Sp-nr1ha, Sp-Nr1h6, Sp-NR1L1","HER_41796.t1"
"SPU_015456","Sp-Nr1h6b","GO:0000122","nuclear receptor subfamily 1 group H-like B, Sp-nr1hb, Sp-NR1L2","HER_19118.t1"
"SPU_004526","Sp-Nr1h6c","GO:0000122","none","HER_18130.t1"
"SPU_013134","Sp-Nr2C","GO:0003700","nuclear receptor subfamily 2 group C","HER_42833.t1"
"SPU_018355","Sp-Nr2dbd","GO:0003700","nuclear receptor with 2 DNA-binding domains, Sp-Hypp_142","HER_18676.t1"
"SPU_018355","Sp-Nr2dbd",NA,"nuclear receptor with 2 DNA-binding domains, Sp-Hypp_142","HER_18677.t1"
"SPU_000255","Sp-Nr4a","GO:0000978","nuclear orphan receptor, nuclear receptor subfamily 4 group A, Sp-Nr4a","HER_21218.t1"
"SPU_000255","Sp-Nr4a","GO:0000978","nuclear orphan receptor, nuclear receptor subfamily 4 group A, Sp-Nr4a","HER_21230.t1"
"SPU_000255","Sp-Nr4a","GO:0000978","nuclear orphan receptor, nuclear receptor subfamily 4 group A, Sp-Nr4a","HER_21230.t1.1.5f2c6c3e"
"SPU_000255","Sp-Nr4a","GO:0000978","nuclear orphan receptor, nuclear receptor subfamily 4 group A, Sp-Nr4a","HER_21230.t1.2.5f2c6c3e"
"SPU_000255","Sp-Nr4a","GO:0000978","nuclear orphan receptor, nuclear receptor subfamily 4 group A, Sp-Nr4a","HER_21230.t1.3.5f2c6c3e"
"SPU_002627","Sp-Olig","GO:0000981","oligodendrocyte transcription factor-like, olig family, Sp-Olig3","HER_34554.t1"
"SPU_016449","Sp-Onecut","GO:0000978","onecut homeobox, Onecut1/2/3-like, SpHnf6, Sp-Hnf6","HER_33009.t1"
"SPU_024877","Sp-Osr","GO:0000977","odd-skipped-related, z121","HER_22564.t1"
"SPU_024877","Sp-Osr","GO:0000977","odd-skipped-related, z121","HER_22564.t1.1.5f2c6c33"
"SPU_019290","Sp-Otp",NA,"orthopedia homeobox","HER_10465.t1"
"SPU_019290","Sp-Otp","GO:0000981","orthopedia homeobox","HER_10476.t1"
"SPU_010424","Sp-Otx","GO:0000978","orthodenticle homolog","HER_18060.t1"
"SPU_012448","Sp-Ovo","GO:0000978","ovo-like, z157","HER_43636.t1"
"SPU_012448","Sp-Ovo","GO:0000978","ovo-like, z157","HER_43636.t1.1.5f2c6b12"
"SPU_006683","Sp-Pax1/9","GO:0005216","paired box 1/9, Sp-Pax1-9","HER_17707.t1"
"SPU_006683","Sp-Pax1/9","GO:0000978","paired box 1/9, Sp-Pax1-9","HER_17709.t1"
"SPU_014539","Sp-Pax2/5/8","GO:0000978","paired box 2/5/8, Pax258, Sp-Pax2-5-8, Sp-Pax2","HER_24481.t1"
"SPU_014539","Sp-Pax2/5/8","GO:0000978","paired box 2/5/8, Pax258, Sp-Pax2-5-8, Sp-Pax2","HER_24481.t1.1.5f2c6b4d"
"SPU_014539","Sp-Pax2/5/8","GO:0000978","paired box 2/5/8, Pax258, Sp-Pax2-5-8, Sp-Pax2","HER_24481.t1.1.5f2d7476"
"SPU_014539","Sp-Pax2/5/8","GO:0000978","paired box 2/5/8, Pax258, Sp-Pax2-5-8, Sp-Pax2","HER_24481.t1.2.5f2d7476"
"SPU_006787","Sp-Pax6_1","GO:0000978","paired box 6, oculorhombin","HER_12505.t1"
"SPU_006787","Sp-Pax6_1","GO:0000978","paired box 6, oculorhombin","HER_12505.t1.1.5f2c6944"
"SPU_027334","Sp-PaxA","GO:0000978","paired box A","HER_40197.t1"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.1.5f2c6b19"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.2.5f2c6b19"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.3.5f2c6b19"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.4.5f2c6b19"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.5.5f2c6b1a"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.6.5f2c6b1a"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.6.5f2c6b1a.1.5f2d745b"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.6.5f2c6b1a.2.5f2d745b"
"SPU_018351","Sp-PaxB","GO:0000978","paired box B, suPaxB","HER_23781.t1.7.5f2c6b1a"
"SPU_023739","Sp-Pbx_1","GO:0000978","pre B cell leukemia homeobox-like (partial), exd, Sp-Pbx","HER_46652.t1"
"SPU_023739","Sp-Pbx_1","GO:0000978","pre B cell leukemia homeobox-like (partial), exd, Sp-Pbx","HER_46652.t2"
"SPU_023739","Sp-Pbx_1","GO:0000978","pre B cell leukemia homeobox-like (partial), exd, Sp-Pbx","HER_46652.t3"
"SPU_013464","Sp-Phox2","GO:0000977","paired-like homeobox 2, paired mesoderm homeobox protein 2a/b, Pmx2a/b, Arix-like","HER_48798.t1_HER_48799.t1"
"SPU_014461","Sp-Pitx1","GO:0000978","paired-like homeodomain 1, Sp-Pitx1_1","HER_24354.t1"
"SPU_024163","Sp-Pitx1_1","GO:0000978","paired-like homeodomain 1","HER_24356.t1"
"SPU_004599","Sp-Pitx2","GO:0000978","paired-like homeodomain 2","HER_23588.t1_HER_23586.t1"
"SPU_004599","Sp-Pitx2","GO:0000978","paired-like homeodomain 2","HER_23589.t1"
"SPU_004598","Sp-Pitx3","GO:0000978","paired-like homeodomain 3","HER_23587.t1"
"SPU_014405","Sp-Pnr","GO:0000122","photoreceptor-specific nuclear receptor-like, NR2E3, Hr51 homolog","HER_11385.t1_HER_11387.t1"
"SPU_013849","Sp-PolppL_104",NA,"pol polyprotein-like-104","HER_14109.t1"
"SPU_013849","Sp-PolppL_104","GO:0003676","pol polyprotein-like-104","HER_16052.t1"
"SPU_013849","Sp-PolppL_104","GO:0000978","pol polyprotein-like-104","HER_25185.t1"
"SPU_013849","Sp-PolppL_104",NA,"pol polyprotein-like-104","HER_34402.t1"
"SPU_013849","Sp-PolppL_104",NA,"pol polyprotein-like-104","HER_35727.t1"
"SPU_013849","Sp-PolppL_104","GO:0005694","pol polyprotein-like-104","HER_38909.t1"
"SPU_013849","Sp-PolppL_104","GO:0005694","pol polyprotein-like-104","HER_48579.t1"
"SPU_003371","Sp-PolppL_31","GO:0000978","pol polyprotein-like-31","HER_5965.t1"
"SPU_010438","Sp-Pou6","GO:0000978","POU class 6 homeobox, Brn5-like, Sp-Hypp_2286","HER_30080.t1"
"SPU_010438","Sp-Pou6","GO:0000978","POU class 6 homeobox, Brn5-like, Sp-Hypp_2286","HER_30080.t1.1.5f2c6aac"
"SPU_019332","Sp-Ppar1","GO:0000122","peroxisome proliferator activated receptor-like 1, NR1C-like","HER_9406.t1"
"SPU_019332","Sp-Ppar1","GO:0000122","peroxisome proliferator activated receptor-like 1, NR1C-like","HER_9406.t1.1.5f2c6a59"
"SPU_021289","Sp-Ppar2","GO:0000122","peroxisome proliferator activated receptor-like 2, NR1C-like","HER_21690.t1"
"SPU_008187","Sp-Prdm7","GO:0000978","PR domain containing 7","HER_32811.t1"
"SPU_008187","Sp-Prdm7","GO:0006355","PR domain containing 7","HER_32814.t1_HER_32817.t1"
"SPU_008187","Sp-Prdm7","GO:0000978","PR domain containing 7","HER_33600.t1"
"SPU_004366","Sp-PropL","GO:0000978","prophet of Pit-1-like, PROP1-like, Sp-Hbtf, Sp-mix/mixer/milk","HER_2195.t1"
"SPU_001859","Sp-Pura",NA,"Purine-rich binding protein","HER_31919.t1"
"SPU_001859","Sp-Pura","GO:0000977","Purine-rich binding protein","HER_31929.t1"
"SPU_014289","Sp-Rax","GO:0000978","retina and anterior neural fold homeobox, retinal homeobox, Rx, Sp-Rx","HER_10972.t1"
"SPU_012203","Sp-Rel","GO:0000978","none","HER_17160.t1"
"SPU_012203","Sp-Rel","GO:0000978","none","HER_17160.t1.1.5f2c6b89"
"SPU_012203","Sp-Rel","GO:0000978","none","HER_40908.t1"
"SPU_007611","Sp-Rfx3","GO:0000978","regulatory factor X, 3-like; Rfx1/2/3-like, Rfx (D. melanogaster) homolog, Sp-Rfx2, Sp-Rfx3_1","HER_6434.t3"
"SPU_012171","Sp-Rfx3_1","GO:0000978","regulatory factor X, 3-like, Sp-Rfx2","HER_6434.t1"
"SPU_012171","Sp-Rfx3_1","GO:0000978","regulatory factor X, 3-like, Sp-Rfx2","HER_6434.t2"
"SPU_012171","Sp-Rfx3_1","GO:0000978","regulatory factor X, 3-like, Sp-Rfx2","HER_6434.t4"
"SPU_012171","Sp-Rfx3_1","GO:0000978","regulatory factor X, 3-like, Sp-Rfx2","HER_6434.t5"
"SPU_025817","Sp-Rfx6L1","GO:0000978","regulatory factor X, 6-like 1; Sp-Rfxc1l","HER_33364.t1"
"SPU_025817","Sp-Rfx6L1","GO:0000978","regulatory factor X, 6-like 1; Sp-Rfxc1l","HER_33530.t1"
"SPU_012326","Sp-Rfx6L2_1","GO:0000978","regulatory factor X, 6-like 2 (partial); Sp-Hypp_681","HER_4382.t1"
"SPU_012326","Sp-Rfx6L2_1","GO:0000978","regulatory factor X, 6-like 2 (partial); Sp-Hypp_681","HER_4382.t2"
"SPU_002235","Sp-RfxL","GO:0000978","regulatory factor X-like, Sp-Rfx4L, Sp-Rfx1L","HER_20168.t1"
"SPU_027998","Sp-Rfxdc2L",NA,"regulatory factor X domain containing 2-like","HER_39305.t1"
"SPU_027998","Sp-Rfxdc2L",NA,"regulatory factor X domain containing 2-like","HER_39306.t1"
"SPU_027998","Sp-Rfxdc2L","GO:0000978","regulatory factor X domain containing 2-like","HER_39308.t1"
"SPU_009642","Sp-Rreb1","GO:0000978","ras responsive element binding protein 1-like, z48, pebbled homolog","HER_46145.t1"
"SPU_009642","Sp-Rreb1","GO:0000978","ras responsive element binding protein 1-like, z48, pebbled homolog","HER_46145.t1.1.5f2c69ec"
"SPU_006917","Sp-Runt1","GO:0000978","runt-related transcription factor-like-1, Runx-like, SpRunt-1, Sp-Runt-1, SpRunt","HER_36819.t1"
"SPU_025612","Sp-Runt1_1","GO:0000978","SpRunt-1, SpRunt","HER_36817.t1"
"SPU_025612","Sp-Runt1_1",NA,"SpRunt-1, SpRunt","HER_36818.t1"
"SPU_007852","Sp-Runt2","GO:0000978","runt-related transcription factor-like 2, Runx-like, SpRunt-2, Sp-Runt-2","HER_36815.t1"
"SPU_028422","Sp-Rxr","GO:0000978","retinoid x receptor, NR2B","HER_47478.t1"
"SPU_028422","Sp-Rxr","GO:0000978","retinoid x receptor, NR2B","HER_47478.t1.1.5f2c6a77"
"SPU_028422","Sp-Rxr","GO:0000978","retinoid x receptor, NR2B","HER_47478.t1.2.5f2c6a77"
"SPU_028422","Sp-Rxr","GO:0000978","retinoid x receptor, NR2B","HER_47478.t1.3.5f2c6a77"
